Designator,Mid X,Mid Y,Rotation,Layer
C1,62.59,-79.415,180.0,bottom
C10,126.81,-135.585,180.0,bottom
C100,204.663,-29.974,90.0,bottom
C101,207.862,-29.938,90.0,bottom
C102,198.734,-40.456,0.0,bottom
C103,198.736,-41.97,0.0,bottom
C104,198.729,-38.915,0.0,bottom
C11,143.11,-113.955,180.0,bottom
C12,143.11,-98.005,180.0,bottom
C13,143.11,-81.945,180.0,bottom
C14,143.55,-66.035,180.0,bottom
C15,143.57,-50.015,180.0,bottom
C16,143.11,-33.965,180.0,bottom
C17,151.49,-39.535,0.0,bottom
C18,151.49,-55.565,0.0,bottom
C19,151.49,-71.445,0.0,bottom
C2,86.8,-55.115,180.0,bottom
C20,151.49,-87.585,0.0,bottom
C21,151.49,-103.555,0.0,bottom
C22,151.49,-119.585,0.0,bottom
C23,167.52,-39.545,0.0,bottom
C24,167.52,-55.585,0.0,bottom
C25,230.74,-55.025,180.0,bottom
C26,248.57,-74.105,0.0,bottom
C27,223.73,-96.815,0.0,bottom
C28,206.54,-79.825,180.0,bottom
C29,167.52,-71.555,0.0,bottom
C3,106.12,-73.825,180.0,bottom
C30,167.52,-87.585,0.0,bottom
C31,167.52,-103.605,0.0,bottom
C32,167.52,-119.545,0.0,bottom
C33,190.655,-135.775,180.0,bottom
C34,206.775,-135.775,180.0,bottom
C35,222.775,-135.775,180.0,bottom
C36,238.625,-135.775,180.0,bottom
C37,254.72,-135.775,180.0,bottom
C38,270.79,-135.775,180.0,bottom
C39,263.73,-145.685,0.0,bottom
C4,81.21,-97.445,180.0,bottom
C40,247.685,-145.685,0.0,bottom
C41,231.6,-145.685,0.0,bottom
C42,215.675,-145.685,0.0,bottom
C43,199.65,-145.685,0.0,bottom
C44,183.7,-145.685,0.0,bottom
C45,263.65,-162.095,0.0,bottom
C46,247.78,-162.095,0.0,bottom
C47,248.61,-217.445,0.0,bottom
C48,224.41,-240.205,0.0,bottom
C49,206.68,-223.815,180.0,bottom
C5,46.83,-135.585,180.0,bottom
C50,230.73,-199.805,180.0,bottom
C51,231.635,-162.095,0.0,bottom
C52,215.65,-162.095,0.0,bottom
C53,199.69,-162.095,0.0,bottom
